City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
65,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
66,Butaritari,KI,82.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
71,Gifford,US,79.05,mist,27.6753,-80.4092,SpringHill Suites by Marriott Vero Beach
80,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
81,Faanui,PF,80.15,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
83,Atar,MR,80.15,overcast clouds,20.5169,-13.0499,Oumou Elghoura
85,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
93,Sur,OM,73.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
96,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
98,Antalaha,MG,72.59,light rain,-14.9003,50.2788,Hotel Vitasoa
100,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Abulug,PH,78.78,overcast clouds,18.4453,121.4533,Amayun Mini-Farm - Cagayan
104,Tautira,PF,87.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
106,Namibe,AO,72.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
111,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
113,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
118,Banda Aceh,ID,78.89,light rain,5.5577,95.3222,Sulthan Hotel International
120,Sal Rei,CV,75.76,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
130,Atuona,PF,78.15,few clouds,-9.8,-139.0333,Villa Enata
135,Natal,BR,84.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
137,Weligama,LK,77.61,overcast clouds,5.9667,80.4167,Weligama Bay Resort
140,Trairi,BR,81.54,clear sky,-3.2778,-39.2689,janelas do mar
143,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
151,Bosaso,SO,74.97,broken clouds,11.2842,49.1816,Red Sea Hotel
153,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
160,Hobyo,SO,79.3,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
164,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
174,Juan Lacaze,UY,77.11,clear sky,-34.4342,-57.4381,Posada Agreste
179,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
182,Innisfail,AU,77.85,overcast clouds,-17.5333,146.0333,Moondarra Motel
186,Montevideo,UY,74.82,clear sky,-34.8335,-56.1674,KOLPING Hotel
192,Inhambane,MZ,74.07,overcast clouds,-23.865,35.3833,Oceano
194,Manicore,BR,82.58,scattered clouds,-5.8092,-61.3003,Hotel Durval
195,Satipo,PE,75.47,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
196,Farafangana,MG,73.53,clear sky,-22.8167,47.8333,Miarina
198,Kalmunai,LK,78.08,overcast clouds,7.4167,81.8167,VS Villa
200,Toma,BF,82.31,scattered clouds,12.7667,-2.8833,Auberge de l'amitié
201,Benguela,AO,78.62,broken clouds,-12.5763,13.4055,Hotel Praia Morena
204,Mitsamiouli,KM,79.34,clear sky,-11.3847,43.2844,Foyer ADM
206,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
208,San Luis Rio Colorado,MX,82.04,overcast clouds,32.4631,-114.7767,María Isabel Hernández Jiménez José de
210,San Policarpo,PH,78.48,broken clouds,12.1791,125.5072,Agapita M. Nicart
