City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Atuona,PF,-9.8,-139.0333,78.15,75,13,13.6,few clouds
131,Seoul,KR,37.5683,126.9778,47.71,93,75,2.3,fog
132,Coquimbo,CL,-29.9533,-71.3436,60.53,77,75,13.8,broken clouds
133,Saint Anthony,US,45.0205,-93.218,43.09,52,1,8.01,clear sky
134,Tarragona,ES,41.129,1.249,55.38,74,0,5.01,clear sky
135,Natal,BR,-5.795,-35.2094,84.42,70,40,17.27,scattered clouds
136,Gloversville,US,43.0528,-74.3438,39.56,80,33,11.01,light rain
137,Weligama,LK,5.9667,80.4167,77.61,85,99,10.85,overcast clouds
138,Nogliki,RU,51.8333,143.1667,26.89,86,100,24.43,overcast clouds
139,Guanhaes,BR,-18.775,-42.9325,69.21,92,100,1.19,overcast clouds
140,Trairi,BR,-3.2778,-39.2689,81.54,74,6,13.56,clear sky
141,Duzce,TR,40.8389,31.1639,47.44,91,100,1.97,overcast clouds
142,Concepcion Del Oro,MX,24.6333,-101.4167,62.31,44,37,7.4,scattered clouds
143,Kahului,US,20.8947,-156.47,86.02,64,20,12.66,few clouds
144,Nantucket,US,41.2835,-70.0995,48.31,51,20,17.27,few clouds
145,Sabaudia,IT,41.3003,13.0282,59.9,94,7,4.18,clear sky
146,Ponta Delgada,PT,37.7333,-25.6667,66.51,67,75,6.91,broken clouds
147,Alamogordo,US,32.8995,-105.9603,71.56,29,1,3.0,clear sky
148,Mestia,GE,43.0458,42.7278,35.96,96,100,2.73,overcast clouds
149,Thompson,CA,55.7435,-97.8558,23.16,86,90,6.91,overcast clouds
150,Norman Wells,CA,65.282,-126.8329,-2.16,78,75,8.05,light snow
151,Bosaso,SO,11.2842,49.1816,74.97,68,70,4.97,broken clouds
152,Flinders,AU,-34.5833,150.8552,64.2,91,100,1.01,overcast clouds
153,Dzaoudzi,YT,-12.7887,45.2699,78.69,78,0,3.44,clear sky
154,Berdigestyakh,RU,62.0989,126.6992,-25.13,100,97,0.56,overcast clouds
155,Tonekabon,IR,36.8163,50.8738,48.15,69,65,2.08,broken clouds
156,Olafsvik,IS,64.8945,-23.7142,36.1,92,80,20.58,broken clouds
157,Ngunguru,NZ,-35.6167,174.5,64.17,77,100,6.87,overcast clouds
158,Kaitangata,NZ,-46.2817,169.8464,60.03,56,100,5.28,overcast clouds
159,Mauguio,FR,43.6181,4.0074,49.66,87,0,4.61,clear sky
160,Hobyo,SO,5.3505,48.5268,79.3,66,51,10.36,broken clouds
161,Izhma,RU,65.0083,53.9113,26.26,92,100,11.01,light snow
162,Pochutla,MX,15.7432,-96.4661,89.82,50,11,7.67,few clouds
163,Baruun-Urt,MN,46.6806,113.2792,15.39,48,28,4.9,scattered clouds
164,Saint-Pierre,RE,-21.3393,55.4781,74.88,59,0,5.75,clear sky
165,Gaoua,BF,10.2992,-3.2508,83.5,26,2,4.38,clear sky
166,Gushikawa,JP,26.3544,127.8686,70.83,97,1,4.61,clear sky
167,Carnarvon,AU,-24.8667,113.6333,68.07,83,0,12.66,clear sky
168,Setermoen,NO,68.861,18.3486,22.96,98,100,0.98,snow
169,Chaozhou,CN,23.6651,116.6379,64.26,91,3,2.04,clear sky
170,Cape Town,ZA,-33.9258,18.4232,63.27,73,0,20.71,clear sky
171,Waipawa,NZ,-41.4122,175.5153,61.45,50,25,14.52,scattered clouds
172,Mandalgovi,MN,45.7625,106.2708,16.18,70,100,2.62,overcast clouds
173,Dnestrovsc,MD,46.6222,29.9133,46.76,65,100,11.1,overcast clouds
174,Juan Lacaze,UY,-34.4342,-57.4381,77.11,59,0,15.57,clear sky
175,Kumi,KR,36.1136,128.336,44.15,93,20,2.1,few clouds
176,Ahtopol,BG,42.1,27.95,41.47,68,100,6.64,overcast clouds
177,Pyinmana,MM,19.7333,96.2167,68.85,92,57,3.49,broken clouds
178,Chokurdakh,RU,70.6333,147.9167,-19.98,100,97,1.97,overcast clouds
179,Taganak,PH,6.0833,118.3,77.14,75,86,7.11,overcast clouds
180,Airai,TL,-8.9266,125.4092,61.41,91,94,2.37,overcast clouds
181,Lebu,CL,-37.6167,-73.65,57.34,79,8,14.92,clear sky
182,Innisfail,AU,-17.5333,146.0333,77.85,63,99,6.96,overcast clouds
183,Hamamatsu,JP,34.7,137.7333,50.02,72,0,3.0,clear sky
184,Dongsheng,CN,39.8161,109.9776,30.96,49,100,5.3,overcast clouds
185,Ornskoldsvik,SE,63.2909,18.7153,32.95,93,75,8.05,broken clouds
186,Montevideo,UY,-34.8335,-56.1674,74.82,60,0,10.36,clear sky
187,Constantine,DZ,36.365,6.6147,51.21,81,0,0.0,clear sky
188,Mangan,IN,27.5167,88.5333,60.96,64,2,4.34,clear sky
189,Kruisfontein,ZA,-34.0033,24.7314,56.88,83,18,5.1,few clouds
190,Winnemucca,US,40.973,-117.7357,53.65,54,90,14.97,overcast clouds
191,Port Hedland,AU,-20.3167,118.5667,71.65,88,8,4.61,clear sky
192,Inhambane,MZ,-23.865,35.3833,74.07,85,99,12.44,overcast clouds
193,Vrangel,RU,42.7297,133.0839,31.15,62,29,6.4,scattered clouds
194,Manicore,BR,-5.8092,-61.3003,82.58,76,50,2.77,scattered clouds
195,Satipo,PE,-11.2522,-74.6386,75.47,87,100,2.53,overcast clouds
196,Farafangana,MG,-22.8167,47.8333,73.53,90,7,7.65,clear sky
197,Marawi,PH,7.9986,124.2928,65.64,94,61,3.11,broken clouds
198,Kalmunai,LK,7.4167,81.8167,78.08,87,89,4.05,overcast clouds
199,Broken Hill,AU,-31.95,141.4333,62.31,94,75,12.66,light rain
200,Toma,BF,12.7667,-2.8833,82.31,17,31,9.31,scattered clouds
201,Benguela,AO,-12.5763,13.4055,78.62,78,56,7.23,broken clouds
202,Corinth,GR,37.9407,22.9573,57.88,86,20,3.6,few clouds
203,Fort Nelson,CA,58.8053,-122.7002,6.39,78,75,5.75,broken clouds
204,Mitsamiouli,KM,-11.3847,43.2844,79.34,80,9,11.07,clear sky
205,Kedrovyy,RU,56.1667,91.8167,3.61,92,100,10.36,overcast clouds
206,Cabedelo,BR,-6.9811,-34.8339,83.07,72,20,13.44,few clouds
207,Fortuna,US,40.5982,-124.1573,57.18,72,90,3.0,overcast clouds
208,San Luis Rio Colorado,MX,32.4631,-114.7767,82.04,12,100,1.48,overcast clouds
209,Adrar,MR,20.5022,-10.0711,77.45,25,65,9.53,broken clouds
210,San Policarpo,PH,12.1791,125.5072,78.48,87,57,6.55,broken clouds
211,Lompoc,US,34.6391,-120.4579,71.02,74,1,5.75,clear sky
212,Labytnangi,RU,66.6572,66.4183,2.1,97,100,7.94,light snow
213,Brae,GB,60.3964,-1.353,49.91,82,100,15.23,overcast clouds
214,Challans,FR,46.8436,-1.8749,43.72,71,0,9.51,clear sky
215,Abu Dhabi,AE,24.4667,54.3667,77.02,63,0,2.3,clear sky
216,Vanavara,RU,60.34,102.2797,-7.11,100,100,1.74,overcast clouds
217,Colombo,LK,6.9319,79.8478,80.55,80,63,10.38,broken clouds
218,Arica,CL,-18.475,-70.3042,76.55,68,0,13.8,clear sky
219,Santa Maria,BR,-29.6842,-53.8069,78.1,27,20,9.22,few clouds
220,Kasempa,ZM,-13.4584,25.8338,67.57,77,95,2.28,light rain
221,Half Moon Bay,US,37.4636,-122.4286,69.58,86,90,5.75,overcast clouds
222,Tanabe,JP,33.7333,135.3667,53.58,81,0,8.25,clear sky
223,Upernavik,GL,72.7868,-56.1549,10.98,77,84,7.25,broken clouds
224,Pimentel,PE,-6.8367,-79.9342,71.89,60,0,23.02,clear sky
225,Bluff,NZ,-46.6,168.3333,54.82,87,100,7.96,light rain
226,Rocha,UY,-34.4833,-54.3333,74.37,54,68,4.38,broken clouds
227,Araouane,ML,18.9048,-3.5265,79.97,21,100,15.12,overcast clouds
228,Esmeralda,CU,21.8525,-78.1169,83.59,64,76,9.51,broken clouds
229,Leh,IN,34.1667,77.5833,17.02,56,2,3.09,clear sky
230,Simpang,ID,-1.2667,104.0833,73.6,99,100,1.14,moderate rain
231,Yeppoon,AU,-23.1333,150.7333,71.38,64,1,8.99,clear sky
232,Alice Springs,AU,-23.7,133.8833,67.55,42,0,0.0,clear sky
233,Jiuquan,CN,39.7432,98.5174,28.87,46,100,17.98,overcast clouds
